mnu_grp,mnu_itm,mnu_seq,opt_nam,grp_nam
mtfmnuTools,mtfoptEmptyAssetAdjustInb,90,mtfoptEmptyAssetAdjustInb,jms_data
mtfmnuTools,mtfoptEmptyAssetAdjustOub,100,mtfoptEmptyAssetAdjustOub,jms_data
