wh_id,bldg_id,dstare,strategy,invsts,inv_attr_str1,prtfam,dept_cod
SGDC,Greenwich,VLQRD,PARTIALS-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,VLQRD,EMPTIES-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,LQRDC,PARTIALS-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,LQRDC,EMPTIES-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,VLQRDC,PARTIALS-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,VLQRDC,EMPTIES-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,LQRDC,PARTIALS-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,LQRDC,EMPTIES-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,LQRDC,PARTIALS-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,LQRDC,EMPTIES-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,VLQRDC,PARTIALS-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,VLQRDC,EMPTIES-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,1396,Liquor,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,1506,Liquor,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,2032,Liquor,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,2032,Liquor,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,1396,Beer,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,1396,Packaging,
SGDC,Greenwich,LQRR,PARTIALS-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,LQRR,EMPTIES-BREAK-ZONE,AFS,1506,Packaging,
SGDC,Greenwich,PRSG,PARTIALS-BREAK-ZONE,AFS,1396,Prestige,
SGDC,Greenwich,PRSG,EMPTIES-BREAK-ZONE,AFS,1396,Prestige,
SGDC,Greenwich,PRSG,PARTIALS-BREAK-ZONE,AFS,1506,Prestige,
SGDC,Greenwich,PRSG,EMPTIES-BREAK-ZONE,AFS,1506,Prestige,
SGDC,Greenwich,PRSG,PARTIALS-BREAK-ZONE,AFS,2032,Prestige,
SGDC,Greenwich,PRSG,EMPTIES-BREAK-ZONE,AFS,2032,Prestige,
SGDC,Greenwich,PRSG,PARTIALS-BREAK-ZONE,AFS,1396,Psg-Liquor,
SGDC,Greenwich,PRSG,EMPTIES-BREAK-ZONE,AFS,1396,Psg-Liquor,
SGDC,Greenwich,PRSG,PARTIALS-BREAK-ZONE,AFS,1506,Psg-Liquor,
SGDC,Greenwich,PRSG,EMPTIES-BREAK-ZONE,AFS,1506,Psg-Liquor,
SGDC,Greenwich,PRSG,PARTIALS-BREAK-ZONE,AFS,2032,Psg-Liquor,
SGDC,Greenwich,PRSG,EMPTIES-BREAK-ZONE,AFS,2032,Psg-Liquor,
SGDC,Greenwich,PRSGR,PARTIALS-BREAK-ZONE,AFS,1396,Prestige,
SGDC,Greenwich,PRSGR,EMPTIES-BREAK-ZONE,AFS,1396,Prestige,
SGDC,Greenwich,PRSGR,PARTIALS-BREAK-ZONE,AFS,1506,Prestige,
SGDC,Greenwich,PRSGR,EMPTIES-BREAK-ZONE,AFS,1506,Prestige,
SGDC,Greenwich,PRSGR,PARTIALS-BREAK-ZONE,AFS,2032,Prestige,
SGDC,Greenwich,PRSGR,EMPTIES-BREAK-ZONE,AFS,2032,Prestige,
SGDC,Greenwich,PRSGR,PARTIALS-BREAK-ZONE,AFS,1396,Psg-Liquor,
SGDC,Greenwich,PRSGR,EMPTIES-BREAK-ZONE,AFS,1396,Psg-Liquor,
SGDC,Greenwich,PRSGR,PARTIALS-BREAK-ZONE,AFS,1506,Psg-Liquor,
SGDC,Greenwich,PRSGR,EMPTIES-BREAK-ZONE,AFS,1506,Psg-Liquor,
SGDC,Greenwich,PRSGR,PARTIALS-BREAK-ZONE,AFS,2032,Psg-Liquor,
SGDC,Greenwich,PRSGR,EMPTIES-BREAK-ZONE,AFS,2032,Psg-Liquor,
SGDC,Greenwich,TOBD,PARTIALS-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,TOBD,EMPTIES-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,TOBDC,PARTIALS-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,TOBDC,EMPTIES-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,TOBR,PARTIALS-BREAK-ZONE,AFS,,Tobacco,
SGDC,Greenwich,TOBR,EMPTIES-BREAK-ZONE,AFS,,Tobacco,
