arecod,stos,stoe,wh_id,locsts,velzon,wrkzon,aisle_id,bastrv,trvord
GU,AF16066,AF16091,SGDC,E,B,HWZ,,3100000,asc
CLOO,AG01001,AG01018,SGDC,E,B,LWZ,,3300000,asc
CLOO,AG02001,AG02018,SGDC,E,B,LWZ,,3300000,asc
CLOO,AG03001,AG03018,SGDC,E,B,LWZ,,3300000,asc
CTRD,AG01019,AG01030,SGDC,E,B,LWZ,,3300000,asc
CTRD,AG02019,AG02030,SGDC,E,B,LWZ,,3300000,asc
CTRD,AG03019,AG03030,SGDC,E,B,LWZ,,3300000,asc
KH,AG01031,AG01036,SGDC,E,B,LWZ,,3300000,asc
KH,AG02031,AG02036,SGDC,E,B,LWZ,,3300000,asc
KH,AG03031,AG03036,SGDC,E,B,LWZ,,3300000,asc
CEB,AG01037,AG01042,SGDC,E,B,LWZ,,3300000,asc
CEB,AG02037,AG02042,SGDC,E,B,LWZ,,3300000,asc
CEB,AG03037,AG03042,SGDC,E,B,LWZ,,3300000,asc
CLOO,AG04001,AG04039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG05001,AG05039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG06001,AG06039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG07001,AG07039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG08001,AG08039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG09001,AG09039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG10001,AG10039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG11001,AG11039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG12001,AG12039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG13001,AG13039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG14001,AG14039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG15001,AG15039,SGDC,E,B,HWZ,,3300000,asc
CLOO,AG16001,AG16039,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG04040,AG04065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG05040,AG05065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG06040,AG06065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG07040,AG07065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG08040,AG08065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG09040,AG09065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG10040,AG10065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG11040,AG11065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG12040,AG12065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG13040,AG13065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG14040,AG14065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG15040,AG15065,SGDC,E,B,HWZ,,3300000,asc
CTRD,AG16040,AG16065,SGDC,E,B,HWZ,,3300000,asc
KH,AG04066,AG04078,SGDC,E,B,HWZ,,3300000,asc
KH,AG05066,AG05078,SGDC,E,B,HWZ,,3300000,asc
KH,AG06066,AG06078,SGDC,E,B,HWZ,,3300000,asc
KH,AG07066,AG07078,SGDC,E,B,HWZ,,3300000,asc
