entity
#sto_bldg_seq
#dscmst
#aremst
#storage_area
#allocation_search_path
#move_path
#work_area
#work_zone
#rpl_allocation_search_path
#rpl_path_cfg
#poldat
#pcklst_lodlvl
#release_rule_poldat
#locmst_temp
#rf_term_mst
#rf_locmst
#rftmst
#devmst
#dev_wrkare
#rplcfg
#job_definition
#vehopr
#are_pck_flg
#les_mls_cat
#reltyp_cmd
#wh_serv_exitpnt_arecod
#les_lkp
#les_var_vp
masterlocmst
