polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam
PICK-RELEASE,RELEASE-RULES,P_VWINDC_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_SOUV_XXXX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_PKGS_XXXX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_XDKK_SSTGX_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_XDKK_SSTGX_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_XDKK_SSTGX_L,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_XDKK_SSTGL_S,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_XDKK_SSTGL_D,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,P_XDKK_SSTGL_L,SGDC,0,SL_DO NOTHING,,0,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_WINR_XXXX_L,SGDC,0,CREATE WORK,PALRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_WINR_XXXX_S,SGDC,0,CREATE WORK,CTNRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_WINR_XXXX_L,SGDC,0,CREATE WORK,PALTPF,99,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_WINR_XXXX_S,SGDC,0,CREATE WORK,CTNTPF,99,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_TOBR_XXXX_L,SGDC,0,CREATE WORK,PALRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_TOBR_XXXX_S,SGDC,0,CREATE WORK,CTNRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_TOBR_XXXX_L,SGDC,0,CREATE WORK,PALTPF,99,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_TOBR_XXXX_S,SGDC,0,CREATE WORK,CTNTPF,99,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_LQRR_XXXX_L,SGDC,0,CREATE WORK,PALRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_LQRR_XXXX_S,SGDC,0,CREATE WORK,CTNRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_LQRR_XXXX_L,SGDC,0,CREATE WORK,PALTPF,99,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_LQRR_XXXX_S,SGDC,0,CREATE WORK,CTNTPF,99,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_PRSGR_XXXX_L,SGDC,0,CREATE WORK,PALRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,E_PRSGR_XXXX_S,SGDC,0,CREATE WORK,CTNRPL,40,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_PRSGR_XXXX_L,SGDC,0,CREATE WORK,PALTPF,99,0,0,0,sysdate,SAMNI,dfs_data
PICK-RELEASE,RELEASE-RULES,G_PRSGR_XXXX_S,SGDC,0,CREATE WORK,CTNTPF,99,0,0,0,sysdate,SAMNI,dfs_data
