wh_id,bldg_id,search_path_typ,arecod,lodlvl,uomcod,prtfam,inv_attr_str1
SGDC,Greenwich,PICK,PKGR,L,,Packaging,
SGDC,Greenwich,PICK,PKGR,L,,GDC,
