prtnum,stoloc,ship_to_loc,minunt,maxunt
40343139,M03073,,12,60
40343147,M03071,,12,60
40345084,O03069,,12,60
40349029,N01083,,12,60
40355521,N03090,,12,60
40384406,O01109,1506,12,54
40417248,N02044,1396,24,72
40428047,O01049,1396,12,36
40428054,O01050,1396,12,36
40428252,N02050,1396,12,36
40428286,N02042,1396,12,36
40428344,P01075,1506,12,54
40439986,O02030,1396,12,36
40442022,M02029,1396,12,36
40442030,N01040,1396,24,72
40442048,N02055,1396,12,36
40442055,N02012,1396,12,36
40442063,N01039,1396,12,36
40442071,M02034,1396,12,36
40452278,M01092,,24,120
40452286,O01081,,24,120
40453219,N02102,,24,120
40462145,P01071,1506,24,108
40472870,N02015,1396,24,72
40472870,P02070,1506,24,72
40474231,O03106,1506,24,72
40474231,P03057,1506,12,36
40490740,O01029,1396,24,72
40490757,O01028,1396,24,72
40490765,O01027,1396,24,72
40490773,O01030,1396,24,72
40490799,M02049,1396,12,36
40490807,N01052,1396,12,36
40492332,O02016,1396,12,36
40492357,O02015,1396,12,36
40512725,O02026,1396,6,18
40516791,M03063,,12,60
40516825,O01065,,12,60
40516841,M01078,,12,60
40519720,N02007,1396,12,36
40519852,N02022,1396,12,36
40527186,M03099,,24,120
40527541,N03066,,24,120
40527558,O02097,,24,120
40527814,N02028,1396,12,36
40527814,P01064,1506,12,54
40528705,N01018,1396,12,36
40528846,N02037,1396,12,36
40538100,M02051,1396,24,72
40570731,M02040,1396,24,72
40661811,M02095,,12,60
40662769,O02075,,12,60
40662868,M03067,,24,120
40663775,O02087,,24,120
40663932,O02099,,24,120
40663940,N02101,,24,120
40686875,N01011,1396,12,36
40736282,N02061,,12,60
40736290,M02071,,12,60
40737165,N02035,1396,12,36
40759284,O01047,1396,12,36
40793002,M01011,1396,24,108
40829590,M02011,1396,8,24
40849077,M02013,1396,24,72
40852253,M01021,1396,24,108
41146507,O02077,,12,60
41192667,N03069,,24,120
41192725,O01072,,12,60
41192733,O01063,,12,60
41192758,O02096,,12,60
41239641,M01018,1396,6,27
41255332,O02014,1396,12,36
41260928,N01037,1396,12,36
41261520,O01015,1396,12,36
41267188,N01114,,12,60
41274192,N02060,1396,24,72
41274218,M02019,1396,12,36
41275371,O01002,1396,12,36
41275462,O02042,1396,24,72
41306424,M01034,1396,12,54
41306424,P03053,1506,12,36
41306481,M01030,1396,12,54
41333220,O01019,1396,24,72
41373648,O03118,1506,12,36
41381823,O02061,,24,120
41381831,N02099,,24,120
41381831,P02088,1506,24,144
41381849,N02110,,24,120
41381849,P02091,1506,24,144
41407313,M01046,1396,8,36
41407438,N02040,1396,8,24
41420191,M01073,,12,60
41431396,O01037,1396,12,36
41440207,O01006,1396,12,36
41455866,M01076,,12,60
41472465,N01009,1396,12,36
41509167,N01120,,24,120
41509175,N01107,,24,120
41509175,P02097,1506,24,144
41509191,N02092,,24,120
41509266,M02068,,24,120
41509456,O03068,,12,60
41510405,M01037,1396,12,54
41510512,M01097,,12,60
41510512,P02090,1506,12,72
41518515,M02090,,12,60
41518523,N02078,,12,60
41523911,M02031,1396,24,72
41523911,P01074,1506,24,108
41524091,O01106,1506,12,54
41524109,P01057,1506,12,54
41526302,M01031,1396,12,54
41526427,P01052,1506,24,108
41534959,O02025,1396,8,24
41544040,M02001,1396,24,72
41547258,M01039,1396,24,108
41555327,M01095,,12,60
41555442,M02075,,12,60
41556093,N01030,1396,12,36
41587940,O01082,,12,60
41587957,M03056,,12,60
41587973,M02078,,12,60
41588005,M03097,,24,120
41588021,N03061,,24,120
41589623,N02073,,12,60
41591280,N01008,1396,8,24
41598368,M02035,1396,12,36
41667239,M03087,,24,120
41667247,M03093,,12,60
41691122,M01051,1396,6,27
41763798,N02053,1396,12,36
41763848,N01034,1396,12,36
41909904,M01059,,12,60
41915604,N01074,,24,120
41915612,N01071,,24,120
41952300,M03096,,24,120
41979782,P03056,1506,12,36
41979881,O01036,1396,12,36
41979881,P02060,1506,12,36
41985193,N02057,1396,12,36
41993163,O03115,1506,12,36
41993171,O03117,1506,12,36
42013110,N01072,,24,120
42013151,M01066,,24,120
42013169,O02064,,12,60
42013177,N02072,,12,60
42013185,M03095,,12,60
42046177,M02020,1396,12,36
42048462,N01002,1396,12,36
42057273,N01057,1396,12,36
42075424,M01054,,24,120
42075432,M02064,,24,120
42075440,M02062,,24,120
42075481,N01078,,24,120
42075499,N01079,,12,60
42075507,M02065,,24,120
42080531,O01095,,12,60
42081034,O01077,,24,120
42081059,N01075,,12,60
42084657,N02088,,12,60
42085415,M02027,1396,12,36
42085415,O02117,1506,12,36
42085506,M01020,1396,12,54
42085506,O02118,1506,12,36
42090860,O02119,1506,12,36
42093146,O02039,1396,12,36
42109066,P02076,1506,12,36
4211391,O01043,1396,48,144
42129262,N01058,1396,12,36
42197095,O01085,,140,700
42233205,N01073,,12,60
42233213,M01067,,12,60
42233288,O02023,1396,12,36
42233304,O02022,1396,12,36
42233312,O02021,1396,12,36
42246884,N01093,,12,60
42279901,M01016,1396,12,54
42279927,M02023,1396,12,36
42355057,M01055,,24,120
42355065,M01056,,24,120
42355073,N01082,,12,60
42355081,M01071,,12,60
42373035,O02029,1396,8,24
42373100,O02032,1396,12,36
42373118,O02028,1396,12,36
42373126,O02020,1396,12,36
42373159,O02027,1396,12,36
42385732,N02032,1396,12,36
42386755,M01033,1396,12,54
42402321,N03113,,12,60
42455840,O02031,1396,12,36
42530048,N02029,1396,12,36
6115101,O02033,1396,24,72
73342,N01035,1396,24,72
73547,O01088,,24,120
74187,N01021,1396,12,36
8044961,O02103,1506,24,72
8181586,M01013,1396,24,108
8673802,M01084,,24,120
8684464,M01098,,24,120
8684510,N02116,,24,120
8684545,M01069,,24,120
8684545,P03090,1506,24,144
9214640,M02093,,12,60

