wrkare,wh_id,prithr,hmemaxprithr,maxprithr,voc_cod,dist_thresh,moddte,mod_usr_id
WKASWT,SGDC,100000,100000,100000,,,sysdate,SAMNI
WKAGM,SGDC,100000,100000,100000,,,sysdate,SAMNI
