arecod,wh_id,tblnme,column_name,srtseq,mod_usr_id,moddte,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
WINDC,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
WINDC,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
WINDC,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
WINDC,SGDC,invdtl,orgcod,10,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWIND,SGDC,invdtl,orgcod,10,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
VWINDC,SGDC,invdtl,orgcod,10,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,prtnum,1,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,prt_client_id,2,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,lotnum,3,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,invsts,4,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,untcas,5,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,ftpcod,6,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,inv_attr_str1,7,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,revlvl,8,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,untpak,9,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
TOBD,SGDC,invdtl,orgcod,10,SAMNI,sysdate,sysdate,sysdate,SAMNI,SAMNI
