usr_id,oprcod,wh_id
HALILB,CTNTPF,SGDC
HAMRAN,CTNTPF,SGDC
HAOLONG,CTNTPF,SGDC
HARONB,CTNTPF,SGDC
HASBI,CTNTPF,SGDC
HS0133003,CTNTPF,SGDC
HUDSON,CTNTPF,SGDC
IAHMAD,CTNTPF,SGDC
IMRANA,CTNTPF,SGDC
ISWARAN,CTNTPF,SGDC
JALILBINS,CTNTPF,SGDC
JARAJ,CTNTPF,SGDC
JASMINE,CTNTPF,SGDC
JAYAKUMAR,CTNTPF,SGDC
JEFFCHONGYI,CTNTPF,SGDC
JEFFZM,CTNTPF,SGDC
JENNIFER,CTNTPF,SGDC
JOHNSINGAM,CTNTPF,SGDC
JORDANT,CTNTPF,SGDC
JORDON,CTNTPF,SGDC
JPRASANTH,CTNTPF,SGDC
JS0132564,CTNTPF,SGDC
JTEPLIN,CTNTPF,SGDC
JTEPLIN2,CTNTPF,SGDC
JUNFANC,CTNTPF,SGDC
KELVIN LIM,CTNTPF,SGDC
KHOOKAH,CTNTPF,SGDC
KHUSNI,CTNTPF,SGDC
LAM,CTNTPF,SGDC
LEONGYM,CTNTPF,SGDC
LIMYUANMEE,CTNTPF,SGDC
LM0132337,CTNTPF,SGDC
LT0132440,CTNTPF,SGDC
MAHADI,CTNTPF,SGDC
MAYWONG,CTNTPF,SGDC
MAZLAN,CTNTPF,SGDC
MB0131670,CTNTPF,SGDC
MCHANDANA,CTNTPF,SGDC
MENDOZA,CTNTPF,SGDC
MITHILESH,CTNTPF,SGDC
MOHD RAHMAN,CTNTPF,SGDC
MS0145024,CTNTPF,SGDC
MS145042,CTNTPF,SGDC
MULHENDRIB,CTNTPF,SGDC
MUSHINTEO,CTNTPF,SGDC
NABILSHAH,CTNTPF,SGDC
NGJING,CTNTPF,SGDC
NK,CTNTPF,SGDC
PARTHIBANS,CTNTPF,SGDC
PAUL,CTNTPF,SGDC
PETERFUNG,CTNTPF,SGDC
PETERMATISI,CTNTPF,SGDC
PRINT PACKLIST,CTNTPF,SGDC
PTHEVINDRAN,CTNTPF,SGDC
PTRIVEDI,CTNTPF,SGDC
QAJAYA,CTNTPF,SGDC
QAPREETHI,CTNTPF,SGDC
QARUBAN,CTNTPF,SGDC
QASWARNA,CTNTPF,SGDC
QAVIDYA,CTNTPF,SGDC
QAVINOD,CTNTPF,SGDC
RAFEN,CTNTPF,SGDC
RAGHAV,CTNTPF,SGDC
RAHMAT,CTNTPF,SGDC
RAM,CTNTPF,SGDC
RAYCROSSWELL,CTNTPF,SGDC
RAYMONDTAN,CTNTPF,SGDC
RENQIANG,CTNTPF,SGDC
REUELD,CTNTPF,SGDC
RH145118,CTNTPF,SGDC
RIZAL,CTNTPF,SGDC
ROHIT,CTNTPF,SGDC
ROSLI,CTNTPF,SGDC
RPRABHU,CTNTPF,SGDC
RPSUPPORT,CTNTPF,SGDC
RSRINIVASAN,CTNTPF,SGDC
SAHRI,CTNTPF,SGDC
SAMNI,CTNTPF,SGDC
SAPIEE,CTNTPF,SGDC
SARAVANAN,CTNTPF,SGDC
SASITHAREN,CTNTPF,SGDC
SHAM,CTNTPF,SGDC
SHNEO,CTNTPF,SGDC
SJ133744,CTNTPF,SGDC
SLAVINE,CTNTPF,SGDC
SN0137087,CTNTPF,SGDC
SP0131597,CTNTPF,SGDC
SP133057,CTNTPF,SGDC
SQ0138815,CTNTPF,SGDC
SSHYAM,CTNTPF,SGDC
STEVE,CTNTPF,SGDC
SUPER,CTNTPF,SGDC
SUPERVISOR,CTNTPF,SGDC
SUPRA,CTNTPF,SGDC
SURESHRAMALINGAM,CTNTPF,SGDC
SUSANTAN,CTNTPF,SGDC
SYAZWAN,CTNTPF,SGDC
SYEDM,CTNTPF,SGDC
TANPK,CTNTPF,SGDC
TEMP1,CTNTPF,SGDC
TEMP2,CTNTPF,SGDC
TEMP3,CTNTPF,SGDC
TEMP4,CTNTPF,SGDC
TEMP5,CTNTPF,SGDC
TEOKIAH,CTNTPF,SGDC
TEOKIMJOO,CTNTPF,SGDC
TIMONTHY,CTNTPF,SGDC
VIGNESHWARAS,CTNTPF,SGDC
WANGJANG,CTNTPF,SGDC
WEEKIAT,CTNTPF,SGDC
WEEYAN,CTNTPF,SGDC
YANG,CTNTPF,SGDC
YATIM,CTNTPF,SGDC
YAZIT,CTNTPF,SGDC
YEOPOH,CTNTPF,SGDC
YH0145013,CTNTPF,SGDC
YOGESH,CTNTPF,SGDC
YONGMENG,CTNTPF,SGDC
ZAKARIABIN,CTNTPF,SGDC
ZHANGHE,CTNTPF,SGDC
ZHENYINQ,CTNTPF,SGDC
ZHIQIANG,CTNTPF,SGDC
ZL0132877,CTNTPF,SGDC
ZULILLAZI,CTNTPF,SGDC
ZULSALLEH,CTNTPF,SGDC
ZULYUNOS,CTNTPF,SGDC
ZUOZHUANG,CTNTPF,SGDC
