wh_id,reltyp_id,srcare,rel_cmd,extra_args,pricod,grp_cols,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
SGDC,A,LQRDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,LQRDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,VLQRD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,VLQRD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,VLQRD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,VLQRDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,VLQRDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,VLQRDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,PKGS,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,PKGS,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,PKGS,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,PRSG,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,PRSG,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,PRSG,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,SOUV,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,SOUV,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,SOUV,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,TOBD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,TOBD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,TOBD,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,TOBDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,TOBDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,TOBDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,WIND,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,WIND,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,WIND,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,WINDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,WINDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,WINDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,VWIND,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,VWIND,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,VWIND,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,C,VWINDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,A,VWINDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
SGDC,Z,VWINDC,CREATE WORK,,,,sysdate,sysdate,SAMNI,SAMNI
