wh_id,bldg_id,dstare,strategy,invsts,inv_attr_str1,prtfam,dept_cod
SGDC,Greenwich,PKGR,PARTIALS-BREAK-ZONE,AFS,1394,Packaging,
SGDC,Greenwich,PKGR,EMPTIES-BREAK-ZONE,AFS,1394,Packaging,
SGDC,Greenwich,PKGR,PARTIALS-BREAK-ZONE,AFS,1395,Packaging,
SGDC,Greenwich,PKGR,EMPTIES-BREAK-ZONE,AFS,1395,Packaging,
SGDC,Greenwich,PKGR,PARTIALS-BREAK-ZONE,AFS,1395,GDC,
SGDC,Greenwich,PKGR,EMPTIES-BREAK-ZONE,AFS,1395,GDC,
SGDC,Greenwich,PKGR,PARTIALS-BREAK-ZONE,AFS,1396,GDC,
SGDC,Greenwich,PKGR,EMPTIES-BREAK-ZONE,AFS,1396,GDC,
