prtnum,stoloc,ship_to_loc,maxunt,minunt,invsts,mod_usr_id
23792478,A01012,1396,100,10,AFS,SAMNI
23929910,O03071,,100,10,AFS,SAMNI
24017672,I01031,,100,10,AFS,SAMNI
24017672,G01028,1506,100,10,AFS,SAMNI
24017974,I01036,,100,10,AFS,SAMNI
24017974,P01096,1506,100,10,AFS,SAMNI
24038068,G01014,1396,100,10,AFS,SAMNI
2411296,C01003,1396,100,10,AFS,SAMNI
2411296,C01032,1506,100,10,AFS,SAMNI
24142396,N01116,,100,10,AFS,SAMNI
24222918,K01042,,100,10,AFS,SAMNI
24222934,J01059,,100,10,AFS,SAMNI
24373436,N02017,1396,100,10,AFS,SAMNI
24390063,M01027,1396,100,10,AFS,SAMNI
24562093,A01008,1396,100,10,AFS,SAMNI
24592251,M01032,1396,100,10,AFS,SAMNI
24608093,C01033,1506,100,10,AFS,SAMNI
24635880,D01020,1506,100,10,AFS,SAMNI
24635880,C01009,1396,100,10,AFS,SAMNI
24636585,C01012,1396,100,10,AFS,SAMNI
24636585,E01022,1506,100,10,AFS,SAMNI
24636666,A01022,1506,100,10,AFS,SAMNI
24636666,C01004,1396,100,10,AFS,SAMNI
24636780,P02067,1506,100,10,AFS,SAMNI
24636780,N02036,1396,100,10,AFS,SAMNI
24636798,D01019,1396,100,10,AFS,SAMNI
24636836,C01008,1396,100,10,AFS,SAMNI
24636836,A01031,1506,100,10,AFS,SAMNI
24783898,I01026,,100,10,AFS,SAMNI
24794288,I01018,1396,100,10,AFS,SAMNI
24844978,M03065,,100,10,AFS,SAMNI
24844986,O01070,,100,10,AFS,SAMNI
24844994,M03064,,100,10,AFS,SAMNI
24845001,O03078,,100,10,AFS,SAMNI
24936910,M02055,,100,10,AFS,SAMNI
24937054,O03082,,100,10,AFS,SAMNI
24942600,J01052,,100,10,AFS,SAMNI
25242491,M01002,1396,100,10,AFS,SAMNI
25242491,A01034,1506,100,10,AFS,SAMNI
25247868,N02041,1396,100,10,AFS,SAMNI
25247990,H01078,,100,10,AFS,SAMNI
25248066,G01066,,100,10,AFS,SAMNI
