var_nam,appl_id,frm_id,addon_id,cust_lvl,vis_flg,ena_flg,fld_typ,ctrl_typ,ctxt_flg,dsp_wid,dsp_hgt,ctrl_prop,grp_nam
vc_maxqty_for_loc,LES,LES,LES,10,1,1,STANDARD,,1,,,,dfs_data
expire_dte,dcsrdt,LES,LES,10,1,1,CUST_DATE,,1,,,FRMT=yyyyMMdd,dfs_data
