opt_nam,ath_typ,ath_id,pmsn_mask,grp_nam
mnuoptVAR-DESTROY-ADJ-DDA,R,DCS_SUPER,-1,
mnuoptVAR-DESTROY-ADJ-DDA,R,Inv Ctrl Officer,-1,
mnuoptVAR-DESTROY-ADJ-DDA,R,Inventory Ctrl Mgr,-1,
mnuoptVAR-DESTROY-ADJ-DDA,R,SUPER,-1,
mnuoptVAR-DESTROY-ADJ-DDA,R,SUPER-RO,-1,
mnuoptVAR-DESTROY-ADJ-DDA,U,VIGNESHWAR1,-1,
mnuoptVAR-DESTROY-ADJ-DDA,U,VIGNESHWARAS,-1,
