opt_nam,ath_typ,ath_id,pmsn_mask,grp_nam
mnuoptuc_list_inv_for_next_hop_loc,R,Picking Associate,-1,
mnuoptuc_list_inv_for_next_hop_loc,R,Receiving Associate,-1,
mnuoptuc_list_inv_for_next_hop_loc,R,WH Supervisor,-1,
