polcod,polvar,polval,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,wh_id_tmpl
USR,BULK-SELECTION-REPLENISHMENT,UNLOCK-CONFIGURATION,0,,,0,0,0,0,,SUPER,WOWTSD005,----
USR,BULK-SELECTION-REPLENISHMENT,UNLOCK-CONFIGURATION,0,PA0291,PA0471,1,4,0,0,,SUPER,WOWTSD005,PRDC
